"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"6830",0,2.548680687793,0.443,0.083,0,"14","DNAH17"
"6831",0,2.2474436021527,0.415,0.057,0,"14","SLC35D2"
"6832",0,3.00949981833,0.454,0.097,0,"14","AC008676.3"
"6833",0,2.55678776303839,0.412,0.057,0,"14","LINC01792"
"6834",0,2.39990176703082,0.506,0.154,0,"14","CFTR"
"6835",0,2.50677279347788,1,0.649,0,"14","SLC44A1"
"6836",0,3.00478315360283,0.411,0.062,0,"14","AC061708.1"
"6837",0,2.00192360668788,0.529,0.183,0,"14","CCDC122"
"6838",0,2.21763218051889,1,0.655,0,"14","ELMO1"
"6839",0,2.58549737782518,0.385,0.041,0,"14","PRR18"
"6840",0,2.31385404381933,1,0.656,0,"14","MAP7"
"6841",0,2.46830564763921,0.418,0.075,0,"14","L3MBTL2-AS1"
"6842",0,2.41235310238654,0.387,0.045,0,"14","PLPP2"
"6843",0,2.26233268173991,0.462,0.123,0,"14","C21orf62-AS1"
"6844",0,2.44342221615443,0.398,0.059,0,"14","GAL3ST1"
"6845",0,2.28762894865623,0.407,0.07,0,"14","ELOVL1"
"6846",0,2.18051756015766,0.486,0.152,0,"14","LINC00862"
"6847",0,2.3887476045403,0.998,0.665,0,"14","UNC5C"
"6848",0,2.17087085066306,0.471,0.138,0,"14","PGM5P2"
"6849",0,2.24040151332695,0.407,0.075,0,"14","RFFL"
"6850",0,2.56592429359274,0.371,0.041,0,"14","AC018647.1"
"6851",0,2.0208607592251,0.994,0.666,0,"14","DNAJC6"
"6852",0,2.69822288565325,0.376,0.05,0,"14","TRIM59"
"6853",0,2.24990343893432,0.387,0.065,0,"14","SYNE3"
"6854",0,2.13357017263516,0.998,0.676,0,"14","TTLL7"
"6855",0,2.15619515055662,0.473,0.152,0,"14","CPEB1-AS1"
"6856",0,2.1905318499395,0.998,0.678,0,"14","ATP8A1"
"6857",0,2.23098961739241,0.373,0.056,0,"14","GALNT6"
"6858",0,2.00392427897528,1,0.686,0,"14","FRMD5"
"6859",0,2.080082222266,0.363,0.053,0,"14","EFS"
"6860",0,3.51201891533911,0.332,0.023,0,"14","ARSI"
"6861",0,2.02694764230983,0.999,0.694,0,"14","MAP4K4"
"6862",0,2.14447401384976,1,0.698,0,"14","SLC24A2"
"6863",0,2.14909041789087,1,0.699,0,"14","PDE4B"
"6864",0,3.62946859917459,0.344,0.045,0,"14","AC138409.3"
"6865",0,2.51115612173372,0.34,0.043,0,"14","TYMSOS"
"6866",0,2.97320600028745,0.319,0.031,0,"14","AC082651.1"
"6867",0,2.28326213784995,0.331,0.046,0,"14","PLIN3"
"6868",0,2.34244219504896,0.342,0.058,0,"14","TGFA"
"6869",0,2.321035710562,0.345,0.071,0,"14","AP000282.1"
"6870",0,2.1277433492064,0.313,0.04,0,"14","CDC42EP1"
"6871",0,2.74088899219389,0.3,0.027,0,"14","LINC00601"
"6872",0,2.25146044080196,0.511,0.24,0,"14","LINC01505"
"6873",0,2.70767021025284,0.322,0.053,0,"14","SLC27A6"
"6874",0,2.64993960421972,0.349,0.08,0,"14","AC116362.1"
"6875",0,2.73866738401396,0.295,0.026,0,"14","GJB1"
"6876",0,2.14156146888986,0.315,0.047,0,"14","ADAMTS14"
"6877",0,2.42366770580004,0.303,0.035,0,"14","SGK2"
"6878",0,2.29589404926022,0.307,0.04,0,"14","NKX2-2"
